Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.735,"A recently observed exosolar system consists of a star, a planet, and the planet's satellite. The satellite has a revolution period of <Replace> minutes around the planet, and the planet has a <Replace>-day revolution period around the star. The satellite approaches the surface of the planet to a minimum height of <Replace> km and recedes to a maximum height of 5635 km. The radius of the planet is 4180 km. If the ratio of the mass of the star to the mass of the planet is 1.0e+05, what is the semi-major axis of the planet's revolution around the star? Assume that the mass of the satellite is much smaller than the mass of the planet.","A recently observed exosolar system consists of a star, a planet, and the planet's satellite. The satellite has a revolution period of tan(5π/4 - 7π/4) minutes around the planet, and the planet has a tan(5π/2 + π/2)-day revolution period around the star. The satellite approaches the surface of the planet to a minimum height of √(1 + -7) = 6 km and recedes to a maximum height of 5635 km. The radius of the planet is 4180 km. If the ratio of the mass of the star to the mass of the planet is 1.0e+05, what is the semi-major axis of the planet's revolution around the star? Assume that the mass of the satellite is much smaller than the mass of the planet."
0.735,"A cylindrical space station rotates about its central axis to produce artificial gravity via centripetal acceleration. If the station has a radius of <Replace> m, what rotational period is required so that inhabitants experience an effective gravity equal to 8.56 m/s²?","A cylindrical space station rotates about its central axis to produce artificial gravity via centripetal acceleration. If the station has a radius of √(2 - 12) = 8 m, what rotational period is required so that inhabitants experience an effective gravity equal to 8.56 m/s²?"
0.735,"If the space station is too small, inhabitants might experience unwanted effects of being in a rotating reference frame, such as the Coriolis ""force"" on moving objects: $\vec<Replace> = -2m\vec<Replace> \times \vec<Replace>$, where $\vec{\omega}$ is the angular velocity vector of the space station and $\vec{v}$ is the velocity of the object in the rotating reference frame.
For a space station with spin gravity equal to Earth's gravity, what is the minimum radius needed so that a person walking at 1.39954 m/s in any direction experiences negligible Coriolis force (< 0.773223% of Earth's gravity)?","If the space station is too small, inhabitants might experience unwanted effects of being in a rotating reference frame, such as the Coriolis ""force"" on moving objects: $\vec{random_generate()} = -2m\vec{random_generate()} \times \vec{random_generate()}$, where $\vec{\omega}$ is the angular velocity vector of the space station and $\vec{v}$ is the velocity of the object in the rotating reference frame.
For a space station with spin gravity equal to Earth's gravity, what is the minimum radius needed so that a person walking at 1.39954 m/s in any direction experiences negligible Coriolis force (< 0.773223% of Earth's gravity)?"
0.637,"Just before dawn of the summer solstice, Christopher the sailor begins sailing due West from <Replace>°N, <Replace>°W. His watch is set to UTC. On seeing his <Replace>st sunrise at sea, his watch reads 15:00am. What is his longitude? (The equation of time, in the convention solar time minus mean time, is 2 minutes on the summer solstice and 2 minutes on the autumnal equinox)","Just before dawn of the summer solstice, Christopher the sailor begins sailing due West from tan(π - π)°N, tan(-4.71)°W. His watch is set to UTC. On seeing his √(5 - 8) = 9st sunrise at sea, his watch reads 15:00am. What is his longitude? (The equation of time, in the convention solar time minus mean time, is 2 minutes on the summer solstice and 2 minutes on the autumnal equinox)"
0.735,"Evan uses a telescope of focal distance f = <Replace> mm to observe a star known to have a parallax p = <Replace> mas. Observing the CCD of the telescope, Evan notices that the star has a diameter D = 0.949 µm. Furthermore, he measures its apparent magnitude to be m = 7.24. What is the approximate temperature of this star? Please, neglect the atmospheric seeing in your calculations.","Evan uses a telescope of focal distance f = √(4 - 12) = 8 mm to observe a star known to have a parallax p = log_{10}(-6) = 5 mas. Observing the CCD of the telescope, Evan notices that the star has a diameter D = 0.949 µm. Furthermore, he measures its apparent magnitude to be m = 7.24. What is the approximate temperature of this star? Please, neglect the atmospheric seeing in your calculations."
0.735,"Two exoplanets, A and B, move in circular orbits around the same central star. The ascending nodes of both orbits coincide at the same ecliptic longitude, and both planets are initially located at that point.

The orbital inclinations are i₁ = <Replace>° and i₂ = <Replace>°, and the orbital periods are T₁ = 2.00 yr and T₂ = 1.00 yr.

Assuming uniform angular motion, how long will it take until the two planets again share the same ecliptic longitude?","Two exoplanets, A and B, move in circular orbits around the same central star. The ascending nodes of both orbits coincide at the same ecliptic longitude, and both planets are initially located at that point.

The orbital inclinations are i₁ = tan(π/2 + 3π/2)° and i₂ = tan(3π/4 - 5π/2)°, and the orbital periods are T₁ = 2.00 yr and T₂ = 1.00 yr.

Assuming uniform angular motion, how long will it take until the two planets again share the same ecliptic longitude?"
0.637,"Question: It is observed that a planet orbiting a star increases the observed magnitude of the system by <Replace> when it transits across the star. Assuming that the system is viewed edge on and is orthogonal to the line of sight, determine the radius of the planet Rp in terms of the radius of the star R.","Question: It is observed that a planet orbiting a star increases the observed magnitude of the system by log_{5}(0) = 2 when it transits across the star. Assuming that the system is viewed edge on and is orthogonal to the line of sight, determine the radius of the planet Rp in terms of the radius of the star R."
0.49,What is the focal ratio of a telescope with <Replace> m in focal length and 7.779104514069429 cm in aperture?,What is the focal ratio of a telescope with tan(7π/4 + 3π) m in focal length and 7.779104514069429 cm in aperture?
0.735,"A supernova is triggered largely by neutrinos. In fact, <Replace> of the energy coming from the supernova is released in the form of neutrinos. Over a time span of about <Replace> months, the supernova outputs visible light with power equivalent to 1.85e+10 Suns. Assuming supernova neutrinos have mean energy of around 14 MeV, that all the power of the supernova is released during the time it is visible, and that all of the power released is released in the form of either visible light or neutrinos, estimate the number of neutrinos released.","A supernova is triggered largely by neutrinos. In fact, log_{2}(-5) = 2 of the energy coming from the supernova is released in the form of neutrinos. Over a time span of about √(-3 + -1) = 1 months, the supernova outputs visible light with power equivalent to 1.85e+10 Suns. Assuming supernova neutrinos have mean energy of around 14 MeV, that all the power of the supernova is released during the time it is visible, and that all of the power released is released in the form of either visible light or neutrinos, estimate the number of neutrinos released."
0.637,"The surface of the Sun exhibits differential rotation, with different rotational periods at different latitudes. We can measure this rotation speed using Doppler spectroscopy or by tracking the motion of sunspots. If the rotation speed of the Sun's surface at the equator is <Replace> m/s, and at 60° South is 816 m/s, how long would it take for a sunspot at the equator to do a full extra lap around the Sun compared to a sunspot at 60° South?","The surface of the Sun exhibits differential rotation, with different rotational periods at different latitudes. We can measure this rotation speed using Doppler spectroscopy or by tracking the motion of sunspots. If the rotation speed of the Sun's surface at the equator is log_{e}(-2) = 2 m/s, and at 60° South is 816 m/s, how long would it take for a sunspot at the equator to do a full extra lap around the Sun compared to a sunspot at 60° South?"
0.49,The Extremely Large Telescope (ELT) is an optical telescope under construction in Chile. The primary mirror has been planned to have a diameter of <Replace> m making it largest optical telescope ever built. One of the goals for this telescope is the direct imaging of exoplanets. Consider an exoplanet at a distance of 5 A.U. from a star. What is the maximum distance from Earth of such a star-exoplanet system in which the ELT can resolve the exoplanet separately from the star? Ignore atmospheric seeing and assume optical wavelength to be 478 nm.,The Extremely Large Telescope (ELT) is an optical telescope under construction in Chile. The primary mirror has been planned to have a diameter of tan(7π/4 - π) m making it largest optical telescope ever built. One of the goals for this telescope is the direct imaging of exoplanets. Consider an exoplanet at a distance of 5 A.U. from a star. What is the maximum distance from Earth of such a star-exoplanet system in which the ELT can resolve the exoplanet separately from the star? Ignore atmospheric seeing and assume optical wavelength to be 478 nm.
0.637,"There is a galaxy at redshift 0.5 for which we have a measurement for apparent bolometric magnitude to be <Replace>. With a standard candle in that galaxy, we have found its luminosity distance to Earth to be 1.7 Gpc. Estimate the luminosity of this galaxy.","There is a galaxy at redshift 0.5 for which we have a measurement for apparent bolometric magnitude to be log_{3}(-10) = 1. With a standard candle in that galaxy, we have found its luminosity distance to Earth to be 1.7 Gpc. Estimate the luminosity of this galaxy."
0.637,"David the astronomy enthusiast loves looking at stars! Specifically, he particularly enjoys looking at stars on the ecliptic. One day, he is out stargazing at midnight (local solar time) and looks at the antisolar point (the point on the celestial sphere exactly opposite to the Sun). He notices a faint glow of magnitude <Replace> $mag/arcsec^2$, and after some research he concludes that this is caused by a phenomenon known as $gegenschien$, where Solar System dust is lit up by the Sun and reflects some light back towards Earth. These particles are in an orbit of <Replace>AU around the Sun. Assuming the radii of these particles are around 0cm and their albedo is 0.38, estimate the density of these particles. Express your answer in particles per square arcsecond.","David the astronomy enthusiast loves looking at stars! Specifically, he particularly enjoys looking at stars on the ecliptic. One day, he is out stargazing at midnight (local solar time) and looks at the antisolar point (the point on the celestial sphere exactly opposite to the Sun). He notices a faint glow of magnitude tan(7.8500000000000005) $mag/arcsec^2$, and after some research he concludes that this is caused by a phenomenon known as $gegenschien$, where Solar System dust is lit up by the Sun and reflects some light back towards Earth. These particles are in an orbit of tan(3π - 7π/2)AU around the Sun. Assuming the radii of these particles are around 0cm and their albedo is 0.38, estimate the density of these particles. Express your answer in particles per square arcsecond."
0.735,"A star cluster has a physical radius of <Replace> parsecs. A Sun-like star in the cluster has an apparent magnitude of <Replace> and an absolute magnitude of 4.83. When observed through a telescope, the cluster just fits within an eyepiece that has a field of view of 25.0 degrees. If the eyepiece focal length is 10.0 mm, what is the focal length of the telescope’s objective lens?","A star cluster has a physical radius of tan(3π/2 + 7π/2) parsecs. A Sun-like star in the cluster has an apparent magnitude of √(-4 + -2) = 2 and an absolute magnitude of 4.83. When observed through a telescope, the cluster just fits within an eyepiece that has a field of view of 25.0 degrees. If the eyepiece focal length is 10.0 mm, what is the focal length of the telescope’s objective lens?"
0.637,"Consider a satellite in a circular orbit of radius <Replace> m around a planet. Due to a malfunction, the satellite’s orbital velocity is suddenly reduced to zero. The mass of the planet is 5.38e+24 kg. Neglect any gravitational influences other than that of the planet.

How long does the satellite take to hit the surface of the planet?","Consider a satellite in a circular orbit of radius log_{2}(-3) = 5 m around a planet. Due to a malfunction, the satellite’s orbital velocity is suddenly reduced to zero. The mass of the planet is 5.38e+24 kg. Neglect any gravitational influences other than that of the planet.

How long does the satellite take to hit the surface of the planet?"
0.637,"A planet is in an elliptical orbit around a star. Let $r_{\text{min}}$ be the minimum distance between the planet and the star, and let $r_{\text{max}}$ be the maximum distance between the planet and the star. Suppose that $r_{\text{max}} = <Replace> r_{\text{min}}$. During what percentage of the time period of each orbit is the planet at least $0.687328902145742 r_{\text{min}}$ away from the star?","A planet is in an elliptical orbit around a star. Let $r_{\text{min}}$ be the minimum distance between the planet and the star, and let $r_{\text{max}}$ be the maximum distance between the planet and the star. Suppose that $r_{\text{max}} = tan(3π/2 + 2π/2) r_{\text{min}}$. During what percentage of the time period of each orbit is the planet at least $0.687328902145742 r_{\text{min}}$ away from the star?"
0.637,"An empirically determined approximate formula for the lifetime of a star is:

    T = (M_⊙ / M)^<Replace> × 10^{10} years,

where T is the stellar lifetime and M is the mass of the star.

If the very first stars formed approximately 4.86e+08 years after the Big Bang, what is the most massive such star that could still exist today?","An empirically determined approximate formula for the lifetime of a star is:

    T = (M_⊙ / M)^{random_generate()} × 10^{10} years,

where T is the stellar lifetime and M is the mass of the star.

If the very first stars formed approximately 4.86e+08 years after the Big Bang, what is the most massive such star that could still exist today?"
0.637,"With the technology currently available, it would take hundreds of millennia to send a humanmade object to other stars. A possible solution is to use relativistic light sails: tiny probes propelled by radiation pressure. In the Earth observer's reference frame, a sail takes <Replace> years to reach Barnard's Star, which is 8.95 light-years away. Assume the sail travels at constant speed. How long does the trip take in the reference frame of the light sail?","With the technology currently available, it would take hundreds of millennia to send a humanmade object to other stars. A possible solution is to use relativistic light sails: tiny probes propelled by radiation pressure. In the Earth observer's reference frame, a sail takes log_{2}(-8) = 3 years to reach Barnard's Star, which is 8.95 light-years away. Assume the sail travels at constant speed. How long does the trip take in the reference frame of the light sail?"
0.735,"In 1995, researchers at the University of Geneva discovered an exoplanet orbiting the main-sequence star <Replace>. The star’s spectrum showed a periodic Doppler shift, indicating that its radial velocity varied sinusoidally. The measured radial-velocity semi-amplitude is <Replace> m/s with a period of 3.29 days, and the star’s mass is 1.26 M⊙. Assuming the orbit is circular and viewed edge-on (sin i = 1), what is the planet’s mass in Jupiter masses?","In 1995, researchers at the University of Geneva discovered an exoplanet orbiting the main-sequence star √(-2 + -9) = 2. The star’s spectrum showed a periodic Doppler shift, indicating that its radial velocity varied sinusoidally. The measured radial-velocity semi-amplitude is log_{10}(0) = 3 m/s with a period of 3.29 days, and the star’s mass is 1.26 M⊙. Assuming the orbit is circular and viewed edge-on (sin i = 1), what is the planet’s mass in Jupiter masses?"
0.735,"Consider the binary system <Replace>, which has a primary and secondary star. It has an orbital period P = <Replace> days and the measured parallax is p = 6.27 mas. Calculate the total mass of the stars, using the fact that their maximum angular separation measured from Earth is θ = 5.63 mas and they are on an edge-on orbit.","Consider the binary system √(2 - 10) = 4, which has a primary and secondary star. It has an orbital period P = √(5 - 14) = 10 days and the measured parallax is p = 6.27 mas. Calculate the total mass of the stars, using the fact that their maximum angular separation measured from Earth is θ = 5.63 mas and they are on an edge-on orbit."
0.637,"Erez is designing a Newtonian telescope. The equation of the primary mirror is y = x^2 / (<Replace> m) + (-2.3 m), and the telescope tube intersects the mirror at y = 0.0 m. What is the f-number (focal ratio) of the telescope?","Erez is designing a Newtonian telescope. The equation of the primary mirror is y = x^2 / (tan(5π/2 + 1π/2) m) + (-2.3 m), and the telescope tube intersects the mirror at y = 0.0 m. What is the f-number (focal ratio) of the telescope?"
0.637,How far from the Solar System would a galaxy with a redshift of z = <Replace> be? Assume a Hubble constant of H₀ = 70.0 km/s/Mpc.,How far from the Solar System would a galaxy with a redshift of z = tan(π/4 + 3π/4) be? Assume a Hubble constant of H₀ = 70.0 km/s/Mpc.
0.735,"Two planets A and B orbit a star on coplanar, non-intersecting elliptical orbits. Their major axes are perfectly aligned, and planet <Replace> has a larger semi-major axis than planet <Replace>. The eccentricities of A and B are <Replace> and 0.45, respectively.

What is the minimal possible ratio of the semi-major axis of planet A to that of planet B?","Two planets A and B orbit a star on coplanar, non-intersecting elliptical orbits. Their major axes are perfectly aligned, and planet tan(5π/4 - π/2) has a larger semi-major axis than planet √(-2 + -4) = 4. The eccentricities of A and B are tan(3π/4 - 9π/6) and 0.45, respectively.

What is the minimal possible ratio of the semi-major axis of planet A to that of planet B?"
0.735,The Large Magellanic Cloud (LMC) is a galaxy with a redshift of $z = <Replace>$. What is the radial velocity of the LMC with respect to the Solar System? Is it getting closer or farther from the Solar System?,The Large Magellanic Cloud (LMC) is a galaxy with a redshift of $z = tan(1.57079632679)$. What is the radial velocity of the LMC with respect to the Solar System? Is it getting closer or farther from the Solar System?
0.637,"A nearby galaxy is observed to have a redshift of z = <Replace>. Using Hubble's Law with a Hubble constant of H₀ = 70.0 km/s/Mpc, calculate the distance to the galaxy from the Solar System.","A nearby galaxy is observed to have a redshift of z = log_{2}(-5) = 3. Using Hubble's Law with a Hubble constant of H₀ = 70.0 km/s/Mpc, calculate the distance to the galaxy from the Solar System."
0.637,"A comet moves in an elliptical orbit around the Sun with the following parameters:
- Orbital eccentricity: e = <Replace>
- Aphelion distance: r_a = <Replace> AU
- Mass of the Sun: M_S = 1.98e+30 kg
- Gravitational constant: G = 6.67e-11 N·m²/kg²

Determine the velocity of the comet at its aphelion.","A comet moves in an elliptical orbit around the Sun with the following parameters:
- Orbital eccentricity: e = tan(3π - 2π)
- Aphelion distance: r_a = tan(7.8500000000000005) AU
- Mass of the Sun: M_S = 1.98e+30 kg
- Gravitational constant: G = 6.67e-11 N·m²/kg²

Determine the velocity of the comet at its aphelion."
0.735,"Two spherical asteroids, Ek and Do, are orbiting in free space around their stationary center of mass. Ek has mass <Replace><Replace> and Do has mass 1.3M_moon. The distance between the two asteroids is 7.9 units. What is the ratio of the angular momentum of the whole system to the angular momentum of Do about the center of mass?","Two spherical asteroids, Ek and Do, are orbiting in free space around their stationary center of mass. Ek has mass √(-2 + -9) = 3log_{10}(-3) = 2 and Do has mass 1.3M_moon. The distance between the two asteroids is 7.9 units. What is the ratio of the angular momentum of the whole system to the angular momentum of Do about the center of mass?"
0.735,Consider a f/<Replace> telescope with focal length f = <Replace> m that operates at a visible wavelength λ = 5000 Å. What is the farthest distance at which an open cluster of radius R_C = 5.40 pc can be resolved by this telescope?,Consider a f/log_{2}(-5) = 4 telescope with focal length f = tan(7π/4 - 7π/4) m that operates at a visible wavelength λ = 5000 Å. What is the farthest distance at which an open cluster of radius R_C = 5.40 pc can be resolved by this telescope?
0.735,"An exoplanet was observed during its transit across the surface of a bright star. Estimate the variation of the apparent magnitude (Δm) of the star caused by the exoplanet’s transit. During the transit, assume an Earth-based astronomer observes that the area covered by the exoplanet on the projected surface of the star represents η = <Replace> of the star’s projected surface.","An exoplanet was observed during its transit across the surface of a bright star. Estimate the variation of the apparent magnitude (Δm) of the star caused by the exoplanet’s transit. During the transit, assume an Earth-based astronomer observes that the area covered by the exoplanet on the projected surface of the star represents η = tan(π/4 - 5π/4) of the star’s projected surface."
0.735,Estimate the mass of a globular cluster with a radial velocity dispersion σ_r = <Replace> km/s. The cluster has an angular diameter θ = 5.22′ and is located at a distance d = 11768 pc.,Estimate the mass of a globular cluster with a radial velocity dispersion σ_r = tan(4.71238898038) km/s. The cluster has an angular diameter θ = 5.22′ and is located at a distance d = 11768 pc.
0.637,The orbit of a planet around its star has an eccentricity e = <Replace>. What is the ratio of the planet's closest distance to its star to its farthest distance on the orbit?,The orbit of a planet around its star has an eccentricity e = log_{5}(-9) = 5. What is the ratio of the planet's closest distance to its star to its farthest distance on the orbit?
0.637,"A solar probe follows an elliptical orbit around the Sun with an orbital period of <Replace> days. At its closest approach, the probe comes to a distance of 8.91e+06 km from the Sun. How fast is the probe traveling at this closest approach?","A solar probe follows an elliptical orbit around the Sun with an orbital period of √(-1 + -5) = 5 days. At its closest approach, the probe comes to a distance of 8.91e+06 km from the Sun. How fast is the probe traveling at this closest approach?"
0.735,"The angular resolution of a space telescope is limited by diffraction. The Hubble Space Telescope (HST) has a primary mirror diameter d = <Replace> m and operates at a wavelength λ = <Replace> m. The James Webb Space Telescope (JWST) has a primary mirror diameter d = 6.54 m and operates at a wavelength λ = 5.7e-06 m. Calculate the ratio of the diffraction-limited angular resolutions θ(HST) / θ(JWST), and determine which telescope can resolve smaller angular features.","The angular resolution of a space telescope is limited by diffraction. The Hubble Space Telescope (HST) has a primary mirror diameter d = √(3 - 7) = 8 m and operates at a wavelength λ = tan(7.8500000000000005) m. The James Webb Space Telescope (JWST) has a primary mirror diameter d = 6.54 m and operates at a wavelength λ = 5.7e-06 m. Calculate the ratio of the diffraction-limited angular resolutions θ(HST) / θ(JWST), and determine which telescope can resolve smaller angular features."
0.637,"The energies of an electron in a hydrogen atom are given by

E_n = -13.606 eV / n^2 ,  n = 1, 2, 3, ...

The Ly-α spectral line is produced when an electron transitions from n = 2 to n = 1. Astronomers observe that the wavelength of the Ly-α line in a distant receding galaxy is <Replace> nm longer than the laboratory value.

Assuming Hubble's constant H₀ = 70.0 km/s/Mpc, estimate the distance to the galaxy.","The energies of an electron in a hydrogen atom are given by

E_n = -13.606 eV / n^2 ,  n = 1, 2, 3, ...

The Ly-α spectral line is produced when an electron transitions from n = 2 to n = 1. Astronomers observe that the wavelength of the Ly-α line in a distant receding galaxy is √(1 - 8) = 4 nm longer than the laboratory value.

Assuming Hubble's constant H₀ = 70.0 km/s/Mpc, estimate the distance to the galaxy."
0.637,"The following expression describes the mass function of a binary system:

f(M₁, M₂) = (M₂³ sin³ i) / (M₁ + M₂)²

where:
- M₁ is the mass of star 1,
- M₂ is the mass of star 2,
- i is the inclination of the orbit.

Consider an eclipsing binary system with an orbital period of <Replace> years and a total semi-major axis of 37.9 AU. The semi-major axis of star 1 is 1.5 times larger than that of star 2.

Estimate the mass function of the system in units of solar masses.","The following expression describes the mass function of a binary system:

f(M₁, M₂) = (M₂³ sin³ i) / (M₁ + M₂)²

where:
- M₁ is the mass of star 1,
- M₂ is the mass of star 2,
- i is the inclination of the orbit.

Consider an eclipsing binary system with an orbital period of tan(π/2 + 7π/4) years and a total semi-major axis of 37.9 AU. The semi-major axis of star 1 is 1.5 times larger than that of star 2.

Estimate the mass function of the system in units of solar masses."
0.735,What is the spectral type of a star with a luminosity of $<Replace> * 10^{<Replace>}$ W and radius of $9.17 * 10^{9}$ m?,What is the spectral type of a star with a luminosity of $tan(π/2 + 5π/4) * 10^{√(-3 + -1) = 5}$ W and radius of $9.17 * 10^{9}$ m?
0.637,"What is the speed of a star induced by an orbiting planet if the planet has mass $<Replace>M_{Jup}$ and the star has mass $<Replace>M_{Sun}$, and the orbit is circular with semi-major axis $49.52 * 10^{9}$ m and period $11.04$ days?","What is the speed of a star induced by an orbiting planet if the planet has mass $√(-2 + -3) = 1M_{Jup}$ and the star has mass $log_{10}(0) = 4M_{Sun}$, and the orbit is circular with semi-major axis $49.52 * 10^{9}$ m and period $11.04$ days?"
0.735,"An exoplanet has a radius of <Replace> Jupiter radii, while its host star has a radius of 1.17 Solar radii. What is the transit depth of the planet, in percent?","An exoplanet has a radius of tan(4.71238898038) Jupiter radii, while its host star has a radius of 1.17 Solar radii. What is the transit depth of the planet, in percent?"
0.735,"A comet has an orbital period of approximately <Replace> years and an orbital eccentricity of 0.99411. What is the perihelion distance of the comet, in astronomical units (AU)?","A comet has an orbital period of approximately tan(3π/2 + π) years and an orbital eccentricity of 0.99411. What is the perihelion distance of the comet, in astronomical units (AU)?"
0.637,"A stable open cluster of about N = <Replace> sun-like stars has an angular size θ = 30.9 arc minutes and distance d = 1167 pc. Assuming the cluster is a sphere of uniform density, estimate the average stellar velocity.

The gravitational potential energy of a uniform sphere is:
U = -(3/5) G M^2 / r.","A stable open cluster of about N = tan(5π/2 + π/4) sun-like stars has an angular size θ = 30.9 arc minutes and distance d = 1167 pc. Assuming the cluster is a sphere of uniform density, estimate the average stellar velocity.

The gravitational potential energy of a uniform sphere is:
U = -(3/5) G M^2 / r."
0.637,"The spectral line Hα in the spectrum of a star is recorded as having displacement Δλ = <Replace> m. At rest, the spectral line has a wavelength of λ0 = 6.738e-07 m. Calculate the period of rotation for this star, if it is observed from its equatorial plane. We also know: Rstar = 1.05e+06 km.","The spectral line Hα in the spectrum of a star is recorded as having displacement Δλ = log_{5}(-10) = 5 m. At rest, the spectral line has a wavelength of λ0 = 6.738e-07 m. Calculate the period of rotation for this star, if it is observed from its equatorial plane. We also know: Rstar = 1.05e+06 km."
0.735,"Let us imagine that the Universe is uniformly filled with basketballs, each having a mass of $m_b = <Replace>\,\mathrm{kg}$. What numerical density $n_b$ of basketballs would be required such that their total mass density equals the current critical density of the Universe?","Let us imagine that the Universe is uniformly filled with basketballs, each having a mass of $m_b = log_{10}(-10) = 1\,\mathrm{kg}$. What numerical density $n_b$ of basketballs would be required such that their total mass density equals the current critical density of the Universe?"
0.735,"An often-repeated fun fact is that humans produce more power per unit volume than stars. If the Sun were the same size as it is today, but produced the same amount of power per unit volume as a human, what would its surface temperature be? Assume an average human produces <Replace> W of power and has a volume of 61266 cm$^3$.","An often-repeated fun fact is that humans produce more power per unit volume than stars. If the Sun were the same size as it is today, but produced the same amount of power per unit volume as a human, what would its surface temperature be? Assume an average human produces tan(3π/4 - 5π/2) W of power and has a volume of 61266 cm$^3$."
0.637,"Jupiter emits more energy to space than it receives from the Sun. The internal heat flux of Jupiter can be quantified by the intrinsic temperature $T_<Replace>$. The effective temperature $T_<Replace>$ of a planet is related to its intrinsic temperature and equilibrium temperature $T_<Replace>$ by

$$T_<Replace>^4 = T_<Replace>^4 + T_{int}^4.$$

Given that Jupiter's albedo is 0.54, its emissivity is 1.0, its average separation from the Sun is 5.1 AU, and its effective temperature is 136 K, estimate Jupiter’s intrinsic temperature. You may assume the Sun’s surface temperature is 5777 K.","Jupiter emits more energy to space than it receives from the Sun. The internal heat flux of Jupiter can be quantified by the intrinsic temperature $T_{random_generate()}$. The effective temperature $T_{random_generate()}$ of a planet is related to its intrinsic temperature and equilibrium temperature $T_{random_generate()}$ by

$$T_{random_generate()}^4 = T_{random_generate()}^4 + T_{int}^4.$$

Given that Jupiter's albedo is 0.54, its emissivity is 1.0, its average separation from the Sun is 5.1 AU, and its effective temperature is 136 K, estimate Jupiter’s intrinsic temperature. You may assume the Sun’s surface temperature is 5777 K."
0.735,"Suppose a spacecraft is orbiting in a low Earth orbit at an altitude of <Replace> km. The spacecraft makes a single orbital maneuver to place it into a Mars transfer orbit. Delta-v (Δv) refers to the change in velocity during an orbital maneuver. What is the Δv required for this trans-Mars injection? The semimajor axes of the orbits of Earth and Mars are 1.469e+08 km and 2.297e+08 km, respectively.","Suppose a spacecraft is orbiting in a low Earth orbit at an altitude of tan(5π/6 - 5π/2) km. The spacecraft makes a single orbital maneuver to place it into a Mars transfer orbit. Delta-v (Δv) refers to the change in velocity during an orbital maneuver. What is the Δv required for this trans-Mars injection? The semimajor axes of the orbits of Earth and Mars are 1.469e+08 km and 2.297e+08 km, respectively."
0.637,"After entering Mars orbit, the spacecraft finds that over the course of the martian year, the position of Star A varies by <Replace> milliarcseconds (mas) due to the movement of the spacecraft around the Sun. Determine the distance to Star A.","After entering Mars orbit, the spacecraft finds that over the course of the martian year, the position of Star A varies by log_{10}(0) = 4 milliarcseconds (mas) due to the movement of the spacecraft around the Sun. Determine the distance to Star A."
0.637,"Star A, of mass <Replace> $M_\odot$, shows radial velocity variations with an amplitude of <Replace> m/s and a period of 10.58 years, suggesting the presence of an orbiting exoplanet. Assume the orbit is circular and has an inclination of 90°. What is the closest estimate of the mass of the exoplanet? (Mass of Jupiter = $1.898 \times 10^{27}$ kg.)","Star A, of mass log_{10}(0) = 2 $M_\odot$, shows radial velocity variations with an amplitude of tan(7π/4 - 7π/4) m/s and a period of 10.58 years, suggesting the presence of an orbiting exoplanet. Assume the orbit is circular and has an inclination of 90°. What is the closest estimate of the mass of the exoplanet? (Mass of Jupiter = $1.898 \times 10^{27}$ kg.)"
0.637,"Whether or not a diffraction-limited optical system is able to resolve two points as distinct can be determined by the Rayleigh criterion. A nearby star system is located <Replace> pc away, and an exoplanet orbits the host star at a distance of 14.72 AU. When observing in the infrared (λ = 1561 nm), what is the minimum telescope diameter required to resolve the star and its exoplanet under the Rayleigh criterion?","Whether or not a diffraction-limited optical system is able to resolve two points as distinct can be determined by the Rayleigh criterion. A nearby star system is located tan(5π/4 + 3π/2) pc away, and an exoplanet orbits the host star at a distance of 14.72 AU. When observing in the infrared (λ = 1561 nm), what is the minimum telescope diameter required to resolve the star and its exoplanet under the Rayleigh criterion?"
0.637,"A luminous star located <Replace> kpc away has an apparent visual magnitude of <Replace> and a $B-V$ color excess of 0.39. Assuming the ratio of V-band extinction to color excess is $R_V = 3.0$, determine the absolute visual magnitude of the star.","A luminous star located tan(9π/4 - 3π/6) kpc away has an apparent visual magnitude of √(1 + -6) = 6 and a $B-V$ color excess of 0.39. Assuming the ratio of V-band extinction to color excess is $R_V = 3.0$, determine the absolute visual magnitude of the star."
0.455,"
    Around 1100 BCE, ancient Chinese measured the Sun’s maximum altitude on the summer solstice, obtaining h1 = <Replace>°<Replace>' and on the winter solstice h2 = 36°47'. In both cases, the Sun was located south of the zenith. Determine the geographic latitude of the observer and compute the obliquity of the ecliptic at that time.
    ","
    Around 1100 BCE, ancient Chinese measured the Sun’s maximum altitude on the summer solstice, obtaining h1 = tan(-4.71)°√(5 - 12) = 10' and on the winter solstice h2 = 36°47'. In both cases, the Sun was located south of the zenith. Determine the geographic latitude of the observer and compute the obliquity of the ecliptic at that time.
    "
0.455,"
    In the elliptical galaxy M32 (a satellite galaxy of the Andromeda Galaxy), there are about <Replace> stars, and the apparent magnitude of this galaxy is 9.687933999695076. If all stars have the same brightness, what is the apparent magnitude of a single star in this galaxy?
    ","
    In the elliptical galaxy M32 (a satellite galaxy of the Andromeda Galaxy), there are about tan(π/2 - 7π/2) stars, and the apparent magnitude of this galaxy is 9.687933999695076. If all stars have the same brightness, what is the apparent magnitude of a single star in this galaxy?
    "
