Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer,Image Lable,Image Name
0.35,Use the Stefan–Boltzmann law to calculate the ratio of the energy emitted per unit area by a sunspot with a temperature of 5222 K to that emitted by the surrounding photosphere with a temperature of 6000 K.,"Step 1: According to the Stefan–Boltzmann law, the radiative flux per unit area is
  F = σ T^4.
Therefore, the ratio of fluxes from two regions depends only on the fourth power of their temperatures:
  F1/F2 = (T1^4) / (T2^4) = (T1/T2)^4.

Substitute T1 = 5222 K and T2 = 6000 K:
  F1/F2 = (5222/6000)^4
       ≈ 0.5738

Therefore, the sunspot emits about 0.57 times the energy per unit area of the surrounding photosphere.",0.57,No,
0.455,"The visual binary star consists of two components, one with a magnitude of 0.35^m and the other with a magnitude of 1.67^m. What is the magnitude of this binary system?","Step 1: Magnitudes cannot be added directly; add fluxes first.
Let the fluxes be F1 and F2. The magnitude–flux relation gives:
m1 − m2 = −2.5 log10(F1/F2)
(0.35 − 1.67) = −2.5 log10(F1/F2)

Solve for the flux ratio:
F1/F2 = 10^{(m2−m1)/2.5}
F1/F2 = 10^((1.67−0.35)/2.5) = 3.38

Step 2: Add the fluxes to get the total flux F0:
F0 = F1 + F2
Write F2 in terms of F1:
F2 = F1 · 10^{-(m2−m1)/2.5}
F0 = F1[1 + 10^(-(1.67−0.35)/2.5)] = F1(1.2958)

Step 3: Convert the total flux back to a magnitude.
Relative to star 1:
m_total − m1 = −2.5 log10(F0/F1)
m_total − 0.35 = −2.5 log10(1.2958)
m_total = 0.07^m

Final Answer:
\boxed{0.07^m}",\boxed{0.07^m},No,
0.455,"Two stars have the same absolute magnitude, but one star is 434 times farther away than the other. What is the difference in their apparent magnitudes?","Step 1:
The relationship between absolute magnitude $M$, apparent magnitude $m$, and distance $r$ (in parsecs) is
$$M = m + 5 - 5\lg r.$$

Since the two stars have the same absolute magnitude, we can write
$$m_1 + 5 - 5\lg r_1 = m_2 + 5 - 5\lg r_2.$$

Step 2:
Rearranging the equation gives
$$m_1 - m_2 = 5\lg\left(\frac{r_1}{r_2}\right).$$

Step 3:
Substituting $r_1 / r_2 = 434$,
$$m_1 - m_2 = 5\lg(434) = 13^m.$$

Therefore, the difference in their apparent magnitudes is $13^m$.",$\boxed{13^m}$,No,
0.455,The absolute magnitude of the RR Lyrae star is $0.68^\mathrm{m}\pm0.21^\mathrm{m}$. How large is the deviation in distance caused by the error in the absolute magnitude?,"Step 1: From the formula for absolute magnitude: 

$$M = m + 5 - 5 \log r$$

The first apparent magnitude $m_1 = 9.15$ and the second apparent magnitude $m_2 = 8.73$, 
where the error in absolute magnitude is $\Delta M = 0.21$.

Step 2: For $m_1$, we have:

$$ 0.68 = m_1 + 5 - 5 \log r_1 $$

And for $m_2$:
    
$$ 0.68 = m_2 + 5 - 5 \log r_2 $$

Step 3: The equation for the ratio of distances is:

$$ \frac{r_1}{r_2} = 1.216 $$

Final Answer: The distance is affected by a factor of $\boxed{1.216}$.",1.216,No,
0.525,"Observing an eclipsing spectroscopic binary system, the orbital period of the component stars is 11.740558485749258 days. Assuming the orbit is circular and the distance between the two component stars is 0.7997929514592523 AU, and one component star has a mass 1.6554417719720744 times that of the other, find the masses of the two component stars.","Step 1: Semi-major axis of the orbit, $a = 0.7997929514592523 / 2 = 0.39989647572962617~AU$

Step 2: Convert orbital period to years: $p = 11.740558485749258 / 365.24 = 0.032144777367619254~years$

Step 3: Using the formula: $m_1 + m_2 = \frac{a^3}{p^2}$
$m_1 + m_2 = \frac{0.39989647572962617^3}{0.032144777367619254^2} = 61.89019994770435$

Step 4: Since $m_1 = 1.6554417719720744 \times m_2$, substitute into the equation:
$m_2 = \frac{61.89019994770435}{1 + 1.6554417719720744} = 23.306931675531093~m_\odot$

Thus, $m_1 = 23.306931675531093 \times 1.6554417719720744 = 38.583268272173264~m_\odot$

Final Answer: The mass of the first star is $m_1 = 38.58~m_\odot$.",$38.58~m_\odot$,No,
0.455,"In a location with geographic latitude $\varphi = 28^\circ 55^\prime$, a star has declination $\delta = 44^\circ 32^\prime$. When the star culminates, what is its zenith distance?","Step 1: For a star at upper culmination in the same hemisphere as the observer, the zenith distance is given by the formula:
$$ z = \delta - \varphi $$

Step 2: Substitute the given values:
$$ z = 44^\circ 32^\prime - 28^\circ 55^\prime $$

Step 3: Perform the subtraction to obtain:
$$ z = 15^\circ 37^\prime $$

",Final Answer: $\boxed{15^\circ 37^\prime}$,No,
0.455,"Mount Damavand is located on the southern coast of the Caspian Sea in northern Iran. Suppose an observer stands on the summit of Mount Damavand (Latitude: 31°22′ N, Altitude: 5700.3 m) to observe the sky above the Caspian Sea. Please calculate the minimum declination of celestial objects that never set for this observer. The Earth's radius at this latitude is 6370.8 km.","Step 1: To calculate the minimum declination of never-setting celestial objects, we must consider two major effects:
1) Atmospheric refraction at the horizon, which is about $\gamma = 34'$.
2) The bending angle due to the curvature of the Earth, which is calculated using the formula:
$\cos\theta = \frac{R}{R + h}$, where $R$ is the Earth's radius and $h$ is the observer's height. The bending angle is $\Theta = 0^{\circ}14.4'$. 

Step 2: The minimum declination is given by the formula:
$\delta_{\text{min}} = 90^{\circ} - \varphi - \gamma - \Theta$

Substituting the values:
$$ \delta_{\text<built-in function min>} = 90^{\circ} - 31^{\circ} - 22^{\prime} - 34' - 0^{\circ}14.4' $$

Step 3: Perform the calculation:
$$ \delta_{\text<built-in function min>} = 57^{\circ}49.6' $$

",Final Answer: $\boxed{57^{\circ}49.6'}$,No,
0.525,"A star has an hour angle of 2h 48m, and its right ascension is 4h 27m. Find the sidereal time at the moment of observation.","Step 1: The sidereal time (S) is calculated using the formula:
$$ S = \alpha + t $$

Step 2: First, convert the right ascension and hour angle to total minutes:
$ \alpha = 4h 27m = 267 \text{minutes} $
$ t = 2h 48m = 168 \text{minutes} $

Step 3: Add the right ascension and hour angle in minutes:
$ 267 + 168 = 282 \text{minutes} $

Step 4: Convert the total minutes back to hours and minutes:
$ 7h 15m $

Step 5: Since the total time exceeds 24 hours, subtract 24 hours:
$$ S = 7h 15m $$

",Final Answer: $\boxed{7h 15m}$,No,
0.455,"Eight galaxies are located at each vertex of a cube. The current distance between any two adjacent galaxies is 11.0 Mpc, and the entire cube expands according to Hubble’s law with $H_0 = 70.7\,\mathrm{km/(s\cdot Mpc)}$. Find the recession velocity of a galaxy relative to the one located at the opposite corner of the cube.","Step 1: Determine the distance between opposite corners of the cube.

The distance between two opposite vertices of a cube is given by the three-dimensional Pythagorean theorem:

$$r^2 = r_1^2 + r_2^2 + r_3^2.$$

Since each edge has length $L = 11.0\,\mathrm{Mpc}$:

$$r^2 = 3L^2 = 3 \times (11.0)^2.$$

$$r = \sqrt{3} \times 11.0 = 19.08\,\mathrm{Mpc}.$$

Step 2: Apply Hubble’s law to find the recession velocity.

According to Hubble’s law, recession velocity is proportional to distance:

$$v = H_0 r.$$

Substituting the numerical values:

$$v = (70.7) \times (19.08) = 1349.2\,\mathrm{km/s}.$$
","$\boxed{v \approx 1349.2\,\mathrm{km/s}}$",No,
0.525,"Assume the mass of the neutrino is m_ν = 1.8e-05 m_e. Determine the neutrino number density required to account for the mass of dark matter in the Universe. Assume the Universe is spatially flat,  and dark matter constitutes 25% of the total mass of the Universe. (Hint: The total energy of a classical Universe is zero.)","Step 1: For a spatially flat Universe, the total mass density equals the critical density:

ρ = ρ_c = 3H² / (8πG).

Converting the Hubble constant to SI units and substituting values gives:
ρ_c ≈ 1.06e-26 kg m⁻³.

Step 2: The mass density contributed by dark matter is:

ρ_DM = 0.25 ρ_c.

Step 3: The neutrino mass is given by:

m_ν = 1.8e-05 m_e.

Step 4: The neutrino number density required to account for dark matter is:

n_ν = ρ_DM / m_ν.

Substituting values:
n_ν ≈ 1.57e+08 particles m⁻³.",1.57e+08 particles m⁻³,No,
0.525,"A telescope with an achromatic convex objective lens of diameter $D = 10 \text{ cm}$ and focal length $f = 200 \text{ cm}$ is pointed to a star at the zenith. Find the diameter (in meters), $d_{\text{image}}$, of the image of a point source as produced by the objective lens at its focal plane for green light ($\lambda = 650 \text{ nm}$), considering only the effects of diffraction.","Step 1: The angular radius of the diffraction disk is given by the formula: $\frac{1.22\lambda}{D}$, where $\lambda$ is the wavelength of light and $D$ is the diameter of the objective lens.
Step 2: The radius of the image is given by the formula: $d_{\text{{image}}} = f \left( \frac{1.22\lambda}{D} \right)$, where $f$ is the focal length of the telescope.
Step 3: Substituting the values: $d_{\text{image}} = 200 \times \left( \frac{1.22 \times 650 \times 10^{-9}}{ 10 / 100} \right)$
Step 4: After performing the calculation, we get: $d_{\text{image}} = 1.586 \times 10^{-3}$ meters.",Final answer: $\boxed{1.586 \times 10^{-3}}$,No,
0.525,"In order for a photon to carry enough energy to ionize a hydrogen atom, its wavelength must be shorter than 89.27 nm. Use Wien’s displacement law to calculate the temperature corresponding to the peak wavelength of a star’s blackbody radiation curve.","Step 1: Write Wien’s displacement law:
λ_max = b / T
where b ≈ 0.29 cm·K when λ_max is in centimeters.

Step 2: Convert the given wavelength to centimeters:
λ_max = 89.27 nm = 89.27 × 10^{-7} cm = 8.927e-06 cm

Step 3: Solve Wien’s law for the temperature:
T = b / λ_max

Step 4: Substitute numerical values:
T = 0.29 / (8.927e-06) = 32486 K

Final Answer:
\boxed{T \approx 32486\ \text{K}}",\boxed{T \approx 32486\ \text{K}},No,
0.525,"A certain quasar has a redshift of 0.25. If it would have the same apparent brightness as the Sun were it located at a distance of 500 pc, and assuming a Hubble constant of 65 km/(s·Mpc), calculate the luminosity of this quasar (in units of the Sun’s luminosity).","Step 1: Convert redshift z to recession speed v/c (relativistic Doppler formula):
v/c = [ (1+z)^2 − 1 ] / [ (1+z)^2 + 1 ]
v/c = [ (1+0.25)^2 − 1 ] / [ (1+0.25)^2 + 1 ] = 0.220

Step 2: Use Hubble’s law v = H0 D to estimate the distance:
v = (v/c) c = (0.220) × (3.00e+05 km/s) = 6.59e+04 km/s
D = v / H0 = (6.59e+04) / (65) = 1013 Mpc

Step 3: Use the inverse-square law expressed in magnitudes.
If the quasar would match the Sun’s apparent brightness at distance d0, then at distance D:
m_quasar − m_sun = 5 log10(D/d0), with D and d0 in the same distance units.
Convert D to pc: D = 1013 Mpc = 1.01e+09 pc
m_quasar = m_sun + 5 log10(D/d0)
m_quasar = (-26.8) + 5 log10((1.01e+09)/(500))
m_quasar = 4.73

Step 4: Convert to absolute magnitude using the distance modulus (D in Mpc):
m − M = 5 log10(D_Mpc) + 25  ⇒  M = m − 5 log10(D_Mpc) − 25
M = 4.73 − 5 log10(1013) − 25 = -35.29

Step 5: Convert absolute magnitude to luminosity:
M − M_sun = −2.5 log10(L/L_sun)
log10(L/L_sun) = (M_sun − M)/2.5 = (4.75 − (-35.29)) / 2.5 = 16.02
L/L_sun = 10^16.02 = 1.04e+16

Final Answer:
\boxed{1.04e+16\,L_\odot}","\boxed{1.04e+16\,L_\odot}",No,
0.525,"Two galaxies are separated by 534.8 kpc and orbit each other.
Their orbital period is estimated to be 39.9 billion years.
Using Kepler's third law, determine the total mass of the two galaxies.","Step 1: Write Kepler’s third law in astronomical units:
        (M₁ + M₂) / M☉ = a³ / P²,
        where a is in AU and P is in years.

Step 2: Convert the given separation to the semi-major axis.
        a = (separation / 2) = 534.8 / 2 = 267.41 kpc.

Step 3: Convert the semi-major axis to astronomical units.
        a = 267.41 kpc × 1000 pc/kpc × 206265 AU/pc
          = 5.516e+10 AU.

Step 4: Convert the orbital period to years.
        P = 39.9 × 10⁹ = 3.990e+10 years.

Step 5: Apply Kepler’s third law.
        M₁ + M₂ = a³ / P²
               = (5.516e+10)³ / (3.990e+10)²
               = 1.054e+11 M☉.

Final Answer: The total mass of the two galaxies is ≈ 1.054e+11 M☉.",The total mass of the two galaxies is ≈ 1.054e+11 M☉. $,No,
0.525,"The observed spectral line broadening of a Seyfert galaxy indicates that it has an orbital velocity of 1708 km/s at a distance of 2.8 pc from the orbital center. Assuming the orbit is circular, use Kepler’s law to estimate the mass of the galaxy within this radius.","Step 1: Convert the given orbital radius into SI units.
\[
 r = 2.8\,\text{pc} = 8.789e+16\,\text{m}
\]

Step 2: Convert the orbital velocity into SI units.
\[
 v = 1708\,\text{km/s} = 1.708e+06\,\text{m/s}
\]

Step 3: Compute the orbital period assuming a circular orbit:
\[
 T = \frac{2\pi r}{v}
\]
\[
 T = 3.232e+11\,\text{s} = 10243.251\,\text{yr}
\]

Step 4: Apply Kepler’s third law to estimate the enclosed mass:
\[
 M = \frac{4\pi^2 r^3}{G T^2}
\]
\[
 M = 3.845e+39\,\text{kg}
\]

Final Answer:
\[
 \boxed{M \approx 3.845e+39\,\text{kg}}
\]","\[
 \boxed{M \approx 3.845e+39\,\text{kg}}
\]",No,
0.595,"Assuming a jet has a velocity of 0.7500771533508663c, how long would it take material in the jet to traverse the 899.4107698360757 kpc distance between the galactic nucleus of Sagittarius A and its radio emission lobe?","
Step 1: The distance is given as 899.4107698360757 kpc. Convert this to parsecs (1 kpc = 1000 pc):
        Distance = 899.4107698360757 kpc = 899410.7698360757 pc

Step 2: The velocity of the jet is given as 0.7500771533508663 * c (fraction of speed of light). 
        We use the formula for time: t = distance / velocity

        t = 899410.7698360757 pc / (0.7500771533508663 * c)

Step 3: Convert the distance from parsecs to kilometers:
        1 pc = 3.085e13 km

        Distance in km = 899410.7698360757 pc * 3.085e13 km/pc = 2.77e+19 km

Step 4: Calculate the time in seconds:
        t = (2.77e+19 km) / (0.7500771533508663 * 300000.0 km/s) = 1.23e+14 seconds

Step 5: Convert time from seconds to years:
        1 year = 3.15576e7 seconds

        Time = 1.23e+14 seconds / 3.15576e7 seconds/year = 3907348.0022 years

Step 6: Convert time from years to million years:
        Time = 3907348.0022 years / 1,000,000 = 3.9073 million years

Final_answer: The material jet takes approximately 3.9073 million years to traverse the distance.
",The material jet takes approximately 3.9073 million years to traverse the distance.,No,
0.525,"Assume that a type of star has an energy-production efficiency of 0.07 (i.e., the ratio of released energy to mc²). For a quasar emitting 3.75e+41 J of energy per second, if its total available mass is 9.68e+10 m_⊙, how long can it sustain its luminosity?","
Step 1: Convert the available mass to kilograms.

m = 9.68e+10 m_⊙
  = 9.68e+10 × 1.989e+30 kg
  = 1.926e+41 kg

Step 2: Compute the total energy available using Einstein’s mass–energy relation.

E_total = η mc²
        = 0.07 × 1.926e+41 × (3.0 × 10⁸)²
        = 1.189e+57 J

Step 3: Determine the time the quasar can sustain its luminosity.

T = E_total / L
  = 1.189e+57 / 3.75e+41
  = 3.169e+15 s

Step 4: Convert seconds to years.

T = 3.169e+15 / 3.154e+07
  = 1.005e+08 years

Final Answer:
The quasar can sustain its luminosity for approximately
\( \boxed{1.00e+08\ \text{years}} \).
",$\boxed{1.00e+08\ \text{years}}$,No,
0.455,"The current distance between the Andromeda Galaxy and the Milky Way is 814 kpc. Andromeda is approaching us with a radial velocity of 106 km/s. Ignoring any transverse motion and gravitational acceleration effects, after how many years will the two galaxies collide?","Step 1: Convert the distance from kiloparsecs to kilometers
Using the conversion:
    1 kpc = 3.086 × 10^16 km

    d = 814 × 3.086 × 10^16 km
      = 2.512e+19 km

Step 2: Use constant velocity motion to find the collision time
Assuming a constant radial velocity, the time to collision is:
    T = d / v

    T = 2.512e+19 / 106
      = 2.377e+17 s

Step 3: Convert seconds to years
    T = 2.377e+17 / (3.16e+07)
      = 7.532e+09 years

",Final_answer:7.5 billion years.,No,
0.525,"Using Kepler’s third law (circular-orbit form), estimate the mass of the galaxy cluster enclosed within the orbit required for a galaxy to move in a circular orbit of radius 3.56 Mpc with a velocity of 726 km/s.","Step 1: Use the circular-orbit form of Kepler’s third law.
For a test particle in a circular orbit, gravity provides the centripetal force:
v^2 = GM/r

Solve for the enclosed mass:
M = v^2 r / G

Step 2: Convert the given radius and velocity to SI units.
Radius:
r = 3.56 Mpc
  = 3.56 × (3.085677581 × 10^22 m)
  = 1.099e+23 m

Velocity:
v = 726 km/s
  = 726 × 10^3 m/s
  = 7.259e+05 m/s

Step 3: Compute the enclosed mass in kilograms.
M = v^2 r / G
  = (7.259e+05)^2 × (1.099e+23) / (6.67430 × 10^-11)
  = 8.680e+44 kg

Step 4: Convert to solar masses.
1 M⊙ = 1.98847 × 10^30 kg

M = 8.680e+44 / (1.98847 × 10^30)
  = 4.37e+14 M⊙",4.37e+14 M_sun,No,
0.525,"A small satellite galaxy orbits a much larger host galaxy in a circular orbit, with its orbital motion exactly parallel to our line of sight. The measured recession velocities of the satellite galaxy and the host galaxy are 6445 km/s and 6550 km/s, respectively. Their angular separation on the sky is 0.081°. Assuming a Hubble constant of H₀ = 70 km/(s·Mpc), estimate the mass of the host galaxy.","Step 1: Determine the distance to the host galaxy using Hubble’s law:
  v = H₀ d  ⇒  d = v/H₀ = 6550/70 = 93.57 Mpc.

Step 2: Convert the angular separation into a physical separation:
  θ = 0.081° = 1.4149e-03 rad.
  a = dθ = 93.57 × 1.4149e-03 = 1.324e-01 Mpc.
  a = 1.324e-01 Mpc = 4.086e+21 m.

Step 3: Determine the orbital speed of the satellite relative to the host:
  v = |6550 − 6445| = 105 km/s = 1.05e+05 m/s.

Step 4: Use the circular orbit condition to estimate the host galaxy mass:
  M = a v² / G.
  M = (4.086e+21 × (1.05e+05)²) / 6.672e-11 = 6.747e+41 kg.

Step 5: Convert the mass into solar masses:
  M = 3.39e+11 M☉.

",3.39e+11 M☉,No,
0.525,"A typical open cluster has a diameter of 15.0 pc, and the average velocity of its member stars is 0.7 km/s. Estimate after how long (in units of one billion years) the orbit of a typical star near the cluster center will dissolve into the tidal field of the Milky Way.","Step 1: Estimate the characteristic distance a star travels.
A typical star near the center moves over a scale comparable to the cluster radius.

a = diameter / 2 = 15.0 / 2 = 7.5 pc

Step 2: Convert parsecs to kilometers.

a = 7.5 × 3.086 × 10¹³ km = 2.314e+14 km

Step 3: Use the relation t = a / v.

t = 2.314e+14 km / 0.7 km/s
t = 3.306e+14 s

Step 4: Convert seconds to years.

t = 3.306e+14 / (3.154 × 10⁷) = 1.048e+07 yr

Step 5: Express the result in units of 10⁹ years.

t = 0.0105 × 10⁹ yr

",0.0105 billion years.,No,
0.525,"If the escape velocity of matter on the surface of a star reaches the speed of light (c), what would the radius of the star be? (Given the mass of the star is M = 1.790e+30 kg.)","Step 1: Recall the classical escape velocity formula:
v_e = √(2GM / R)

Step 2: Set the escape velocity equal to the speed of light:
√(2GM / R) = c

Step 3: Square both sides and solve for R:
2GM / R = c²
R = 2GM / c²

Step 4: Substitute the given values:
G = 6.674e-11 N·m²/kg²
M = 1.790e+30 kg
c = 2.998e+08 m/s

R = 2 × 6.674e-11 × 1.790e+30 / (2.998e+08)²

Step 5: Perform the calculation:
R = 2658.77 m",R = 2658.77 m,No,
0.525,"The angular momentum of a solid is proportional to its angular velocity multiplied by the square of its radius. Using the law of conservation of angular momentum, if the initial rotation rate of a stellar core is 1 revolution(s) per day, estimate the rotation rate of the compact stellar core when its radius decreases from 1e+04 km to 10 km.","Step 1: Write down the conservation of angular momentum:
ω₁ R₁² = ω₂ R₂²

Step 2: Solve for the final angular velocity ω₂:
ω₂ = ω₁ (R₁² / R₂²)

Step 3: Substitute the given values:
ω₂ = (1) × ((1e+04)² / (10)²)

Step 4: Perform the calculation:
ω₂ = 1.00e+06 revolutions/day

Final Answer:
1.00e+06 revolutions per day",1.00e+06 revolutions per day,No,
0.455,"A binary star system is at a distance of 20 pc from us. The maximum angular separation of the two components is 5″, and the minimum angular separation is 1.5″. The orbital period is 50 years, and it is assumed that the orbital plane of the binary star is perpendicular to the line of sight. Given that the angular semimajor axis corresponding to one component is a1 = 2.1″, find the masses of the two stars in the binary system.","Step 1: Determine the (relative) semimajor axis from the maximum and minimum angular separations:

        a'' = (1/2)(θ_max + θ_min)

        a'' = (1/2)(5 + 1.5) = 3.25″

        Convert to linear semimajor axis using: a(AU) = a''(arcsec) · d(pc)

        a = 3.25 · 20 = 65.0 AU

        Apply Kepler's third law in astronomical units and years:

        m1 + m2 = a^3 / P^2   (in solar masses)

        m1 + m2 = (65.0)^3 / (50)^2 = 109.85 M☉

Step 2: Use the center-of-mass relation for a binary:

        m1 a1 = m2 a2   ⇒   m1/m2 = a2/a1

        a2 = a'' - a1 = 3.25 - 2.1 = 1.15″

        m1/m2 = a2/a1 = 1.15/2.1

Step 3: Solve with m1 + m2 known:

        m1 = 38.87 M☉,   m2 = 70.98 M☉","\boxed{m_1 = 38.87\,M_\odot,\ m_2 = 70.98\,M_\odot}",No,
0.455,"Two component stars of an eclipsing spectroscopic binary are observed. Their orbit is circular, with an orbital period of 8.5 days and a separation of 0.42 AU. One star has a mass 1.7 times that of the other. What are the masses of the two component stars?","Step 1: Apply Kepler’s third law in astronomical units.

For a binary system with separation $a$ (in AU) and orbital period $p$ (in years), the total mass in solar units is given by

$$m_1 + m_2 = \frac{a^3}{p^2}.$$

Convert the orbital period from days to years:

$$p = \frac{8.5}{365.2422} = 0.0233\,\mathrm{yr}.$$

Substitute the given values:

$$m_1 + m_2 = \frac{(0.42)^3}{(0.0233)^2} = 136.89\,m_\odot.$$

Step 2: Use the given mass ratio to solve for individual masses.

Given $m_1 = 1.7 m_2$, we write:

$$1.7 m_2 + m_2 = 136.89 m_\odot.$$

Solving for $m_2$:

$$m_2 = \frac{136.89}{1 + 1.7} = 50.12\,m_\odot.$$

The mass of the primary star is then:

$$m_1 = 1.7 \times 50.12 = 86.77\,m_\odot.$$
","$\boxed{m_1 = 86.77\,m_\odot,\;m_2 = 50.12\,m_\odot}$",No,
0.525,"For an eclipsing binary whose two component stars have the same radius and whose effective temperatures are T_A = 6504 K and T_B = 13062 K, determine the primary and secondary eclipse depths of the light curve.","
Step 1: The magnitude difference between the light-curve maximum and the primary minimum 
is called the primary eclipse depth, while the difference between the maximum and the secondary 
minimum is the secondary eclipse depth.

Step 2: Using the luminosity formula L = 4πR^2σT^4 and same radius for both stars,
the luminosity ratios are:
L_A / L_total = T_A^4 / (T_A^4 + T_B^4)
L_B / L_total = T_B^4 / (T_A^4 + T_B^4)

Step 3: The primary eclipse depth (in magnitudes) is:
m_primary = 2.5 * log10(1 / (L_A / L_total)) = 2.5 * log10(1 + (T_B / T_A)^4) 
           ≈ 3.09^m

Step 4: Similarly, the secondary eclipse depth is:
m_secondary = 2.5 * log10(1 / (L_B / L_total)) = 2.5 * log10(1 + (T_A / T_B)^4) 
             ≈ 0.06^m

Final Answer:
Primary eclipse depth: 3.09^m
Secondary eclipse depth: 0.06^m
","Primary eclipse depth: 3.09^m, Secondary eclipse depth: 0.06^m",No,
0.525,"A Cepheid variable has a brightness variation (light amplitude) of 0.51 mag. If its effective temperature is 6427 K at maximum light and 5458 K at minimum light, what is the radius change caused by the pulsation?","Step 1: The luminosity of a star is given by
        L = 4πR²σT⁴.

        At maximum and minimum light, we have
        L_max = 4πR_max²σT_max⁴,
        L_min = 4πR_min²σT_min⁴.

Step 2: The magnitude difference is related to luminosity by
        Δm = −2.5 log₁₀(L_min / L_max).

        Substituting the luminosity expressions:
        Δm = −5 log₁₀(R_min / R_max)
              − 10 log₁₀(T_min / T_max).

Step 3: Solving for the radius ratio:
        log₁₀(R_min / R_max)
        = −0.2 Δm − 2 log₁₀(T_min / T_max).

        = −0.2 × 0.51 − 2 log₁₀(5458/6427).

        = 0.04.

Step 4: Converting from logarithmic form:
        R_min / R_max = 10^0.04 ≈ 1.10.

Final Answer: The minimum radius is approximately 1.10 times the maximum radius.",1.10 times the maximum radius.,No,
0.525,"Question:
A globular cluster has a tangential velocity of 204.2 km/s and is at a distance of 8.76 kpc from the Earth.
Find its proper motion (in arcseconds per year, ""/a).","Solution Steps:
Step 1: Write down the relation between tangential velocity and proper motion:
    v_t = 4.74 × μ × d
    where v_t is in km/s, μ is in arcsec/year, and d is in parsecs.

Step 2: Convert the distance from kiloparsecs to parsecs:
    d = 8.76 kpc = 8760 pc

Step 3: Rearrange the formula to solve for proper motion μ:
    μ = v_t / (4.74 × d)

Step 4: Substitute the given values:
    μ = 204.2 / (4.74 × 8760)

Step 5: Compute the result:
    μ ≈ 4.917e-03 arcsec/year

Final Answer:
    μ ≈ 4.917e-03 ""/a","    μ ≈ 4.917e-03 ""/a",No,
0.525,"A density wave forms two spiral arms and propagates through the Galactic disk. At a galactocentric radius of 7.2 kpc, the pattern speed of the density wave is 133 km/s, while the Galactic rotation speed is 235 km/s. How many times has the Sun passed through a spiral arm in 5.0 billion years?","Step 1: Compute the Sun’s orbital period around the Galactic center:
p₁ = 2πR / v = 2π × (7.2 kpc × 3.086×10¹⁶ km/kpc) / 235 km/s
   = 1.88e+08 years

Step 2: Compute the rotation period of the spiral density wave:
p₂ = 2πR / v = 2π × (7.2 kpc × 3.086×10¹⁶ km/kpc) / 133 km/s
   = 3.32e+08 years

Step 3: Determine the relative period between the Sun and the spiral pattern:
1/p = |1/p₁ − 1/p₂|
p = 4.34e+08 years

Step 4: Divide the total time by the relative period to find the number of crossings:
N = (5.0 × 10⁹ years) / p ≈ 11.5

Therefore, the Sun has passed through the spiral arms approximately 12 times.",12 times,No,
0.525,"Two galaxies orbit each other at a separation of 694.7 kpc. Their orbital period is estimated to be 40.7 billion years.
Using Kepler's third law, determine the total mass of the two-galaxy system.","Step 1: Assume the two galaxies move in circular orbits about their common center of mass.
        The semi-major axis of the relative orbit is half the separation.

        a = 347.34 kpc = 1.072e+22 m

Step 2: Convert the orbital period from billions of years to seconds.

        P = 40.73 × 10^9 yr = 1.285e+18 s

Step 3: Apply Kepler’s Third Law for a two-body system:

        M = (4π² a³) / (G P²)

Step 4: Substitute the values:

        M = (4π² × (1.072e+22)³) / (6.674e-11 × (1.285e+18)²)

Step 5: Solve for the total mass of the system.

Final Answer:
        M ≈ 4.409e+41 kg", 4.409e+41 kg,No,
0.455,"A Seyfert galaxy has a spectral-line redshift of 1.772%, and the broadened emission lines indicate a rotational velocity of 150 km/s at an angular distance of 0.335"" from its center. Assuming this rotation is in circular orbits, use Kepler’s law to estimate the mass within the radius corresponding to 0.335"".","Step 1: Given z and velocities.
z = 1.772% = 0.017720.
Recession velocity: v_r = z c ≈ 0.017720 × 300000 = 5316.0 km/s.
Using Hubble’s law v_r = H0 D:
D = 5316.0 / 73.0 = 72.82 Mpc.

Convert angular separation to linear radius (small-angle):
r = D × (θ/206265) = 72.82 Mpc × 10^6 pc/Mpc × (0.335/206265)
  = 118.27 pc.

Compute effective speed as in the template:
v^2 = v_t^2 + v_r^2 = (150)^2 + (5316.0)^2 = 28282356.0 (km/s)^2.

Step 2: For circular motion, enclosed mass:
M = r v^2 / G.
Therefore M ≈ 7.8 × 10^11 m.",Final_answer: 7.8 × 10^11m,No,
